"","word","num","dt_max","dt_min","dt_first","adopter10","adopter100","num_first_adopters","id","dist","race","ses","lang","pol"
"688","deerbra",2394,"2014-01",0,"2013-05",2013-07-03,2013-07-09,100,"1429316809,709329446,40058162,124022717,1084877588,54146880,44261653,237031831,1309423567,253329536,83585251,508139247,295874287,385207187,18070847,238804780,562099408,231960051,251922109,421242821,175846854,788628007,101809796,234636448,373063178,43628324,358509364,355723220,492884209,243284150,82448152,186312693,334997641,322746330,443441447,298230527,250130166,250856080,326223424,1161798036,1263277352,491860180,168571129,58107657,60620358,107854717,38666044,302696268,178216888,321478542,248076592,124070917,151916906,146254955,234175405,64625238,324564082,711115945,134697411,297212371,981457806,60942034,435495477,198696686,1488170616,199150392,320321640,156110099,343685068,612396163,321112926,128719875,258300697,213011248,63860292,121293906,220765149,305165409,39629488,351344385,1522854768,313478852,25901054,268108068,268460584,164126820,513865227,63773152,231661672,34098887,580370695,34477374,338089051,158961563,456736536,283187854,122448851,810073656,45752468,191631666",0,1,0,0,0
"693","degular",1667,"2015-12",0,"2015-06",2015-08-02,2015-12-19,100,"245136466,35323415,28326549,355224707,3075421762,455145979,352697242,248022711,242545502,137830580,318068355,18969259,326663721,17577827,2547830357,327821051,281220895,49037825,97059748,184703108,111069880,110574898,24322141,64781886,227217731,938216390,151279207,1032890394,3012589928,1624207381,71379217,241317760,93256239,151721025,2324693918,2328229352,2261014833,534832864,339628500,2560189905,1608435493,3562563328,993943058,129246546,260980994,35107124,303373242,39850467,499423588,376015031,1197528210,258373604,2185131501,406341933,327028309,102515341,2347804154,1758115766,116323503,524324320,2331405372,2972613441,277210942,33416138,218250581,447851849,167178368,1161327942,2735499918,2967981975,367961329,233294245,1390171694,563716238,541984878,2369811591,3369642700,24097310,1421856270,2181028824,64330695,16470189,336791339,2872494671,1015894190,1112713248,466792960,15816019,703043458,360396881,379183343,139546887,399035582,38904873,272711470,319791488,439796299,317186800,2482815228,2735806570",0,0,0,0,1
"704","democrap",1121,"2018-10",0,"2017-09",2018-03-05,2018-09-17,100,"33068037,828328554882543618,823657547982835712,3235643742,49638895,41056803,532457455,702349693,219803781,813998444616425472,788766688535719936,48997761,758648324803223552,759237835694153728,20638151,971833756914012160,881144844374036480,974494776488812545,15598598,107074929,286427926,170625577,827577230788136960,980110090983292929,28105561,449076168,1301920015,239961468,525884669,559645321,730598064055037952,2900659636,118210519,2480098549,821132119678205952,3187227260,999632034896244736,881662613351956481,757190661049348096,824788290725294080,1976922576,706816179701051392,26916249,822644134943092742,763196343183613952,3974137947,743828447298879488,497364577,2686498352,823207906288041984,1409535590,2853410675,34991028,398270371,1169160877,4015452852,43490582,2786209473,426647320,260926538,120885190,826407102,110306100,53982833,732736193079726081,43608966,748950183904354306,159009432,65931246,3352452365,2250817146,903396856776011779,22666333,760447773036670976,838953863440904192,747911794501378048,47491556,3267413204,997939620045316096,891972902412840961,2871428607,3394897264,430334280,57656713,63104833,989680254171144193,63774004,856318974132277248,985654830357254144,39206452,1167655052,988926715681497091,510726518,742414476335579142,4734764059,2384372933,917128211074637824,378831919,3435142720,809213634",0,1,0,1,0
"707","demorat",1216,"2019-08",0,"2013-07",2013-12-22,2016-07-22,100,"401748480,1261045009,339220504,142117632,24517233,804824798,15153843,911296592,191555622,234922535,35216399,224775883,1267333824,862191060,323638277,16552921,64039620,631437340,18892635,159447476,939762660,108524355,146998301,411701635,24603971,784875325,23272075,250192923,1648406203,259956008,45447497,26947929,1738679586,153883005,485005284,74247792,898992114,29445904,160018783,17467950,1131819050,889566793,14545416,348725381,99128314,190589983,107507375,38415895,541385453,1912352094,1067209832,1167531248,880048238,149181677,19066258,457680921,56014497,59665313,87961743,2179041576,83615717,1340785494,45638072,21690687,2940073999,48043980,4143516766,1510952088,23048747,3870717493,112614146,2416617475,21959317,94249055,789738380,636421278,2201984725,4686166231,375884007,531487234,3120221800,708199243,467808330,19016767,41997453,401370410,860679312,734572269251526658,172126051,2996858037,4833889065,61735353,2696042526,545377339,702285533922398211,2435917885,625877182,3452957836,409384934,2943304486",1,0,0,0,0
"728","dfwt",1322,"2016-03",0,"2014-06",2014-11-22,2015-03-26,100,"188175556,116802873,349338504,326996338,596947310,208321390,770510856,451987433,162279170,236687150,422734181,531804704,291528725,1246275696,969397146,236171933,116257057,2419369489,235311611,632095074,317909236,236238424,310470057,380698434,1490834348,309995919,1634659249,235069220,323108341,1709526055,1279571089,2572620123,2914090951,2155328807,2325315995,2339491056,316002606,707612503,1962933906,317643593,1479034986,536852895,373254969,2161190212,359734332,234153891,359513576,281349063,2997551977,347004922,1540342878,532734186,350037628,2244677288,228807321,174263013,283152644,216527766,538646290,303578199,2874036564,559589090,2312818214,70528730,211983147,2891737872,91180029,1382737040,458611191,45285567,404553098,542097349,329798561,347635631,2951829136,45181697,318791308,282855335,311258826,2696557992,247991997,2887790720,549062085,1877637156,323609183,1606895454,468042543,2468056952,162306897,420920702,119353207,2524010207,35094707,320334711,54372753,502349189,2830446698,170988720,289445239,51955435",1,1,0,1,1
"773","doggos",4571,"2019-03",0,"2015-06",2015-09-29,2016-06-03,100,"2895348556,91616839,17034820,81034740,2205210923,375875804,2335928828,458898625,386192144,490016840,707351594,14413604,2290220899,746574992,2767963930,3131598320,3180116142,3011769266,231132096,263426280,434535093,1146244795,1615988545,1706203776,1369528592,64218381,2379257654,178766801,770142348,300577274,1898408263,3226079689,990116622,509491159,332504981,1635423216,827876845,2897704341,3648811276,3424689341,382398709,711709064737247233,2893050977,1115889762,99596284,168345996,384102559,627661570,4675472461,343183993,331168229,132265021,3948084732,209765728,310946632,73318234,600671761,232460058,3815213533,1034317356,501364850,30266532,178905472,3130574188,446430670,499331763,2943280252,760971698,17218423,238625955,1347829340,3294664492,246636676,273690857,1394312930,2269733802,994120057,5015831,418154676,19185916,533781920,635113904,2612998904,20114963,1337117474,803799835,4130481202,51369135,2290688035,30442347,3312997248,383854800,275878764,2864696759,69204657,92817360,451155770,323592353,14922813,403916159",0,0,1,0,0
"838","dumbassery",1129,"2020-04",0,"2017-09",2018-03-29,2018-10-01,100,"466482095,822713756,128084396,279615679,2223522259,373851170,3282693403,277782488,2889926504,62935787,840028001555349509,961485776,1489992223,774271514828877824,2400907248,776960785,836227816064634882,363459609,2486569219,1961379848,1350721022,50500020,31559195,956472636,17221172,1540039370,6898562,41523789,276167846,278155229,15594861,838739097409708034,18514907,6482142,1132267568,17014235,58053457,71150648,507871284,2167566582,346040338,59470547,2522082265,131299401,731060454,2205751706,107233871,1579215164,28262061,201887796,485176495,20684203,545261627,179272034,799208695,290485086,14782210,619886700,19103087,35815667,1517486737,901616972001153024,954115353856086017,987165186753572864,114893873,44535548,230223081,3546222497,2278187007,358887492,16150587,1656917983,777371859973050369,330424560,48112717,17741202,491472275,24407394,912429596674543617,4874464340,3003553276,1683832124,345625424,594337767,19397808,366943003,473244356,909647473425158145,16889723,827295695480578049,3125740881,262859745,347944080,1028104996762656769,2938163978,1236593863,16350376,919892509,322360227,477779989",0,0,1,0,0
"860","earthers",1584,"2019-03",0,"2017-03",2017-06-30,2018-03-29,100,"247034892,15906495,15997827,3314201411,9810062,2500447609,69139197,3183809521,367271007,767800,2764391073,57145368,28916422,841846038,399674573,14128780,34524972,45835391,3051398232,348288947,30109311,3181187989,21814376,2815559898,25811115,424645560,93951987,293531540,80482460,1965755706,169002842,173283588,719230252757737472,33272200,4090953689,1312522764,904802589254053888,22300303,983503248,107953092,54348847,333234498,415950194,735231157,28194083,19190925,2844501110,542400718,587623635,21837025,1295571,1508848194,379326295,36444522,53664305,171549095,23088442,45734041,6016202,124790697,874482747485454336,23534162,914333061445246976,16647197,28597897,3587014514,3173655542,92636671,176707181,740892950784290816,15794356,16720690,14221588,98763982,304113231,2323073344,1175221,38176938,55671434,2967591638,300214006,100262776,38360819,2204137363,221764914,519979865,966713971,2612152333,456300840,74350221,617282633,14950206,901284099566055424,893478091,807383503,40526283,2605201187,528509022,381093468,187333063",0,0,1,0,0
"862","earthporn",1986,"2016-02",0,"2015-05",2016-05-16,2020-03-15,30,"895081556,19131230,110634602,1529421373,22655911,33729703,32244988,150097325,35203319,2389786441,14801888,275218718,159094719,450402605,3152045607,181415068,849882518,76255736,2388249284,1183785296,55479924,520999703,71581844,233608342,32401547,29247760,563270521,847105263362609152,44793138,4904",0,0,0,1,0
"983","fineapple",2700,"2013-11",0,"2013-08",2013-09-28,2013-11-06,100,"747713047,52361875,536666835,410135221,1508359370,1378088503,381037558,1318777512,1093510266,588844282,311784420,137897187,703301252,781461870,450429110,516002509,70531700,162940772,348228071,304827625,284642620,1447337582,1589365135,489050271,530030424,1922292343,67653680,326159196,588038886,597474370,514672549,319347978,446395479,720617510,1618663644,79625177,324496881,1334345502,44996099,21242233,365487845,374920279,727677942,920389723,382310914,1169980752,1471121228,30991613,225535313,494532538,1191471230,269364458,146638780,335371993,326374401,309050710,27226807,167958220,336912608,1531341439,1340361146,94163667,166940089,774015782,1877324282,233314083,1236097603,341550138,946789410,170593516,1623454837,807283561,924354500,840919412,1334636436,341249101,319910043,20833781,554008605,609584962,473448022,164538465,963544694,1447460594,592985782,59915510,84457801,170732955,716598598,1353109513,768532189,348740602,424678068,30739102,134215277,81312015,557593647,1221888355,563378853,59043061",0,0,0,0,1
